symbol	company	listing_date	market_date	sector	sub_sector	open_price	close_price	low_price	high_price	volume
COF	Capital One Financial		2016-01-05	Financials	Consumer Finance	69.43	69.46	68.70	70.55	5216200
COG	Cabot Oil & Gas	2008-06-23	2016-01-05	Energy	Oil & Gas Exploration & Production	17.66	17.57	17.07	17.87	11622200
COH	Coach Inc.		2016-01-05	Consumer Discretionary	Apparel, Accessories & Luxury Goods	33.82	33.97	33.31	34.19	5592000
COL	Rockwell Collins		2016-01-05	Industrials	Industrial Conglomerates	90.77	92.62	90.70	92.64	1013200
COO	The Cooper Companies	2016-09-23	2016-01-05	Health Care	Health Care Supplies	131.86	131.58	130.75	133.30	390100
COP	ConocoPhillips		2016-01-05	Energy	Oil & Gas Exploration & Production	46.67	47.40	45.99	47.52	7012400
COST	Costco Co.	1993-10-01	2016-01-05	Consumer Staples	Hypermarkets & Super Centers	160.17	159.93	159.45	161.23	2127700
COTY	Coty, Inc	2016-10-03	2016-01-05	Consumer Staples	Personal Products	24.87	24.94	24.20	25.49	1295100
CPB	Campbell Soup		2016-01-05	Consumer Staples	Packaged Foods & Meats	51.84	51.85	51.34	52.18	2777800
CRM	Salesforce.com	2008-09-15	2016-01-05	Information Technology	Internet Software & Services	77.07	77.05	76.67	77.97	2656800
CSCO	Cisco Systems	1993-12-01	2016-01-05	Information Technology	Networking Equipment	26.54	26.29	26.18	26.66	22024900
CSRA	CSRA Inc.	2015-12-01	2016-01-05	Information Technology	IT Consulting & Other Services	29.00	28.51	28.00	29.48	2439100
CSX	CSX Corp.	1967-09-30	2016-01-05	Industrials	Railroads	25.80	25.53	25.21	25.99	5216300
CTAS	Cintas Corporation		2016-01-05	Industrials	Diversified Support Services	88.58	88.43	88.09	89.24	627900
CTL	CenturyLink Inc		2016-01-05	Telecommunications Services	Integrated Telecommunications Services	25.11	24.99	24.77	25.19	4283500
CTSH	Cognizant Technology Solutions		2016-01-05	Information Technology	IT Consulting & Other Services	58.45	58.13	57.97	58.68	3644100
CTXS	Citrix Systems		2016-01-05	Information Technology	Internet Software & Services	74.57	73.55	73.27	75.99	1281000
CVS	CVS Health		2016-01-05	Consumer Staples	Drug Retail	96.39	96.74	95.90	97.15	5414800
CVX	Chevron Corp.		2016-01-05	Energy	Integrated Oil & Gas	89.05	89.61	87.84	89.65	7883400
CXO	Concho Resources	2016-02-22	2016-01-05	Energy	Oil & Gas Exploration & Production	90.60	91.05	88.88	92.00	1506500
D	Dominion Resources		2016-01-05	Utilities	Electric Utilities	67.29	68.05	66.25	68.12	2476000
DAL	Delta Air Lines	2013-09-11	2016-01-05	Industrials	Airlines	49.31	48.57	47.04	49.75	14557200
DD	Du Pont (E.I.)		2016-01-05	Materials	Diversified Chemicals	62.73	64.28	62.31	64.29	7794500
DE	Deere & Co.		2016-01-05	Industrials	Construction & Farm Machinery & Heavy Trucks	75.95	76.52	75.02	76.54	2578300
DFS	Discover Financial Services	2007-07-02	2016-01-05	Financials	Consumer Finance	52.64	52.59	52.22	53.09	3061600
DG	Dollar General	2012-12-03	2016-01-05	Consumer Discretionary	General Merchandise Stores	72.50	72.83	72.08	73.16	3426200
DGX	Quest Diagnostics		2016-01-05	Health Care	Health Care Facilities	70.79	70.78	70.37	71.75	1061800
DHI	D. R. Horton		2016-01-05	Consumer Discretionary	Homebuilding	30.64	30.42	30.03	30.74	4759400
DHR	Danaher Corp.		2016-01-05	Industrials	Industrial Conglomerates	91.74	91.85	91.10	92.13	3760400
DIS	The Walt Disney Company	1976-06-30	2016-01-05	Consumer Discretionary	Broadcasting & Cable TV	102.67	100.90	99.89	102.67	16212900
DISCA	Discovery Communications-A	2010-03-01	2016-01-05	Consumer Discretionary	Cable & Satellite	26.46	26.47	26.17	27.14	1738500
DISCK	Discovery Communications-C	2014-08-07	2016-01-05	Consumer Discretionary	Cable & Satellite	25.20	25.27	24.84	25.47	2290100
DLPH	Delphi Automotive	2012-12-24	2016-01-05	Consumer Discretionary	Auto Parts & Equipment	84.46	81.66	81.20	84.69	2391500
DLR	Digital Realty Trust	2016-05-18	2016-01-05	Real Estate	Specialized REITs	76.19	76.29	75.48	76.45	1344500
DLTR	Dollar Tree	2011-12-19	2016-01-05	Consumer Discretionary	General Merchandise Stores	79.27	79.98	79.24	80.78	4335400
DNB	Dun & Bradstreet	2008-12-02	2016-01-05	Industrials	Research & Consulting Services	102.36	101.24	100.33	102.82	170800
DOV	Dover Corp.	1985-10-31	2016-01-05	Industrials	Industrial Machinery	61.66	60.47	59.97	61.88	1078400
DOW	Dow Chemical		2016-01-05	Materials	Diversified Chemicals	50.18	49.55	49.09	50.18	8756000
DPS	Dr Pepper Snapple Group	2008-10-07	2016-01-05	Consumer Staples	Soft Drinks	92.49	93.37	92.37	93.71	1241400
DRI	Darden Restaurants		2016-01-05	Consumer Discretionary	Restaurants	63.49	63.89	62.71	63.89	2077500
DTE	DTE Energy Co.		2016-01-05	Utilities	MultiUtilities	78.96	79.95	78.01	80.10	1259100
DUK	Duke Energy	1976-06-30	2016-01-05	Utilities	Electric Utilities	71.18	71.70	70.18	71.85	2706800
DVA	DaVita Inc.	2008-07-31	2016-01-05	Health Care	Health Care Facilities	68.72	69.12	68.72	69.54	1239300
DVN	Devon Energy Corp.		2016-01-05	Energy	Oil & Gas Exploration & Production	32.20	32.83	31.56	32.93	6258100
EA	Electronic Arts		2016-01-05	Information Technology	Home Entertainment Software	66.10	64.94	64.84	66.82	3304600
EBAY	eBay Inc.		2016-01-05	Information Technology	Internet Software & Services	26.61	26.12	25.94	26.86	16691400
ECL	Ecolab Inc.	1989-01-31	2016-01-05	Materials	Specialty Chemicals	112.55	112.90	112.29	113.69	1222800
ED	Consolidated Edison		2016-01-05	Utilities	Electric Utilities	64.44	64.91	63.58	65.17	1516600
EFX	Equifax Inc.		2016-01-05	Industrials	Research & Consulting Services	110.17	110.11	109.16	110.77	1078000
EIX	Edison Int'l		2016-01-05	Utilities	Electric Utilities	59.08	58.97	58.01	59.21	2534600
EL	Estee Lauder Cos.		2016-01-05	Consumer Staples	Personal Products	87.18	88.01	86.91	88.17	1506000
EMN	Eastman Chemical	1994-01-01	2016-01-05	Materials	Diversified Chemicals	67.13	67.11	66.10	68.11	1335200
EMR	Emerson Electric Company	1965-03-31	2016-01-05	Industrials	Industrial Conglomerates	47.58	46.99	46.63	47.67	3656300
ENDP	Endo International	2015-01-27	2016-01-05	Health Care	Pharmaceuticals	59.90	59.35	59.29	61.13	2254000
EOG	EOG Resources		2016-01-05	Energy	Oil & Gas Exploration & Production	70.06	70.13	68.57	70.54	3665200
EQIX	Equinix	2015-03-20	2016-01-05	Real Estate	REITs	297.98	303.41	294.17	304.53	1440300
EQR	Equity Residential		2016-01-05	Real Estate	REITs	80.15	81.50	80.00	81.76	1379100
EQT	EQT Corporation	2008-12-19	2016-01-05	Energy	Oil & Gas Exploration & Production	53.50	52.60	52.22	53.68	1492800
ES	Eversource Energy		2016-01-05	Utilities	MultiUtilities	50.85	51.35	50.01	51.43	1087100
ESRX	Express Scripts	2003-09-25	2016-01-05	Health Care	Health Care Distributors	86.87	87.60	86.79	87.87	4803500
ESS	Essex Property Trust, Inc.	2014-04-02	2016-01-05	Real Estate	Residential REITs	237.90	240.04	237.78	240.55	257700
ETFC	E*Trade	2004-03-31	2016-01-05	Financials	Investment Banking & Brokerage	28.72	28.58	28.32	29.05	2346000
ETN	Eaton Corporation		2016-01-05	Industrials	Industrial Conglomerates	52.22	51.85	51.26	52.34	2102300
ETR	Entergy Corp.		2016-01-05	Utilities	Electric Utilities	68.47	68.95	67.03	69.16	1440600
EVHC	Envision Healthcare Corp	2016-12-02	2016-01-05	Health Care	Health Care Services	25.80	26.96	25.79	27.16	3807200
EW	Edwards Lifesciences	2011-04-01	2016-01-05	Health Care	Health Care Equipment	78.67	80.01	78.43	80.45	1566700
EXC	Exelon Corp.		2016-01-05	Utilities	MultiUtilities	27.88	28.16	27.42	28.19	5588400
EXPD	Expeditors Int'l	2007-10-10	2016-01-05	Industrials	Air Freight & Logistics	44.06	44.55	43.74	44.66	2323400
EXPE	Expedia Inc.	2007-10-02	2016-01-05	Consumer Discretionary	Internet & Direct Marketing Retail	121.25	119.93	118.39	122.13	3723800
EXR	Extra Space Storage	2016-01-19	2016-01-05	Real Estate	Specialized REITs	87.82	90.40	87.81	90.79	867300
F	Ford Motor		2016-01-05	Consumer Discretionary	Automobile Manufacturers	13.97	13.72	13.51	14.00	50267500
FAST	Fastenal Co	2009-09-15	2016-01-05	Industrials	Building Products	40.51	39.75	39.23	40.56	3444600
FB	Facebook	2013-12-23	2016-01-05	Information Technology	Internet Software & Services	102.89	102.73	101.67	103.71	23258200
FBHS	Fortune Brands Home & Security	2016-06-22	2016-01-05	Industrials	Building Products	54.88	54.21	54.18	55.36	903200
FCX	Freeport-McMoran Cp & Gld		2016-01-05	Materials	Copper	6.62	6.71	6.51	6.73	37753400
FDX	FedEx Corporation	1980-12-31	2016-01-05	Industrials	Air Freight & Logistics	143.56	144.65	142.39	144.73	1698500
FE	FirstEnergy Corp		2016-01-05	Utilities	Electric Utilities	31.63	31.54	30.94	31.64	5204200
FFIV	F5 Networks	2010-12-20	2016-01-05	Information Technology	Networking Equipment	95.66	96.52	95.50	96.70	1157600
FIS	Fidelity National Information Services		2016-01-05	Information Technology	Internet Software & Services	60.19	60.29	59.67	61.09	2283600
FISV	Fiserv Inc		2016-01-05	Information Technology	Internet Software & Services	89.41	89.91	89.28	90.24	1107100
FITB	Fifth Third Bancorp		2016-01-05	Financials	Banks	19.56	19.61	19.39	19.73	8994000
FL	Foot Locker Inc	2016-04-04	2016-01-05	Consumer Discretionary	Apparel Retail	65.31	66.23	65.31	66.96	2045400
FLIR	FLIR Systems	2009-01-02	2016-01-05	Information Technology	Electronic Equipment & Instruments	30.18	30.31	29.96	31.42	2527500
FLR	Fluor Corp.	1980-03-31	2016-01-05	Industrials	Diversified Commercial Services	47.60	46.78	46.67	48.11	1308000
FLS	Flowserve Corporation	2008-10-02	2016-01-05	Industrials	Industrial Machinery	42.03	41.12	40.75	42.07	982600
FMC	FMC Corporation	2009-08-19	2016-01-05	Materials	Diversified Chemicals	38.04	37.58	37.34	38.55	1414000
FOX	Twenty-First Century Fox Class B	2015-09-18	2016-01-05	Consumer Discretionary	Publishing	26.56	26.60	26.44	26.75	4247400
FOXA	Twenty-First Century Fox Class A	2013-07-01	2016-01-05	Consumer Discretionary	Publishing	26.52	26.59	26.44	26.75	10205700
FRT	Federal Realty Investment Trust	2016-02-01	2016-01-05	Real Estate	Retail REITs	144.86	146.54	144.16	147.04	492500
FSLR	First Solar Inc	2009-10-16	2016-01-05	Information Technology	Semiconductors	70.56	72.03	70.11	72.12	6385400
FTI	FMC Technologies Inc.	2009-06-05	2016-01-05	Energy	Oil & Gas Equipment & Services	29.14	28.81	28.48	29.27	2332700
FTR	Frontier Communications		2016-01-05	Telecommunications Services	Integrated Telecommunications Services	4.63	4.72	4.61	4.74	6858600
GD	General Dynamics		2016-01-05	Industrials	Aerospace & Defense	136.10	136.64	135.53	137.35	1525100
GE	General Electric		2016-01-05	Industrials	Industrial Conglomerates	30.68	30.74	30.45	30.84	55176200
GGP	General Growth Properties Inc.	2013-12-10	2016-01-05	Real Estate	Retail REITs	26.81	27.37	26.72	27.52	3952900
GILD	Gilead Sciences		2016-01-05	Health Care	Biotechnology	99.69	99.26	98.70	99.85	9260800
GIS	General Mills	1969-03-31	2016-01-05	Consumer Staples	Packaged Foods & Meats	57.68	57.20	56.96	57.91	3653800
GLW	Corning Inc.		2016-01-05	Information Technology	Electronic Components	17.92	17.90	17.73	18.07	11931400
GM	General Motors	2013-06-06	2016-01-05	Consumer Discretionary	Automobile Manufacturers	33.33	32.43	32.18	33.41	19777200
GOOG	Alphabet Inc Class C		2016-01-05	Information Technology	Internet Software & Services	746.45	742.58	738.64	752.00	1950700
GOOGL	Alphabet Inc Class A	2014-04-03	2016-01-05	Information Technology	Internet Software & Services	764.10	761.53	755.65	769.20	2260800
GPC	Genuine Parts	1973-12-31	2016-01-05	Consumer Discretionary	Specialty Stores	84.53	84.33	83.07	84.57	1079100
GPN	Global Payments Inc	2016-04-25	2016-01-05	Information Technology	Data Processing & Outsourced Services	62.58	63.55	62.58	63.68	2400600
GPS	Gap (The)	1986-08-31	2016-01-05	Consumer Discretionary	Apparel Retail	25.55	26.28	25.43	26.43	11496400
GRMN	Garmin Ltd.	2012-12-12	2016-01-05	Consumer Discretionary	Consumer Electronics	37.00	36.94	36.78	37.34	1305500
GS	Goldman Sachs Group		2016-01-05	Financials	Investment Banking & Brokerage	176.71	174.09	172.92	177.50	4521600
GT	Goodyear Tire & Rubber		2016-01-05	Consumer Discretionary	Tires & Rubber	31.97	30.70	30.65	32.02	4884000
GWW	Grainger (W.W.) Inc.	1981-06-30	2016-01-05	Industrials	Industrial Materials	202.73	199.68	197.76	203.43	730600
HAL	Halliburton Co.		2016-01-05	Energy	Oil & Gas Equipment & Services	34.61	34.40	33.75	34.73	8100900
HAR	Harman Int'l Industries		2016-01-05	Consumer Discretionary	Consumer Electronics	97.43	96.00	92.34	98.37	1754500
HAS	Hasbro Inc.	1984-09-30	2016-01-05	Consumer Discretionary	Leisure Products	67.30	68.18	67.01	68.50	1661000
HBAN	Huntington Bancshares		2016-01-05	Financials	Banks	10.76	10.72	10.65	10.81	9529200
HBI	Hanesbrands Inc	2015-03-20	2016-01-05	Consumer Discretionary	Apparel, Accessories & Luxury Goods	29.43	30.01	29.31	30.13	4542400
HCA	HCA Holdings	2015-01-27	2016-01-05	Health Care	Health Care Facilities	66.56	66.44	65.79	67.00	4366800
HCN	Welltower Inc.	2009-01-30	2016-01-05	Real Estate	REITs	68.50	70.09	68.15	70.45	3346500
HCP	HCP Inc.	2008-03-31	2016-01-05	Real Estate	REITs	38.26	39.06	38.21	39.25	3129500
HD	Home Depot	1988-03-31	2016-01-05	Consumer Discretionary	Home Improvement Retail	131.15	130.43	130.05	131.94	5320900
HES	Hess Corporation	1984-05-31	2016-01-05	Energy	Integrated Oil & Gas	47.68	48.07	46.63	48.12	3143500
HIG	Hartford Financial Svc.Gp.		2016-01-05	Financials	Property & Casualty Insurance	42.77	43.37	42.61	43.59	3356100
HOG	Harley-Davidson		2016-01-05	Consumer Discretionary	Motorcycle Manufacturers	45.74	45.29	44.97	46.38	2392300
HOLX	Hologic	2016-03-30	2016-01-05	Health Care	Health Care Equipment	37.83	37.92	37.43	38.08	2457800
HON	Honeywell Int'l Inc.	1964-03-31	2016-01-05	Industrials	Industrial Conglomerates	102.64	103.41	102.27	103.59	2553700
HP	Helmerich & Payne		2016-01-05	Energy	Oil & Gas Drilling	53.76	53.56	52.79	54.33	1769900
HPE	Hewlett Packard Enterprise	2015-11-02	2016-01-05	Information Technology	Technology Hardware, Storage & Peripherals	15.13	15.03	14.94	15.25	10328200
HPQ	HP Inc.	1974-12-31	2016-01-05	Information Technology	Computer Hardware	11.65	11.71	11.58	11.78	13558400
HRB	Block H&R	1986-11-30	2016-01-05	Financials	Consumer Finance	33.03	33.25	32.71	33.37	3545700
HRL	Hormel Foods Corp.	2009-03-04	2016-01-05	Consumer Staples	Packaged Foods & Meats	78.55	79.81	78.20	79.89	3858400
HRS	Harris Corporation	2008-09-22	2016-01-05	Information Technology	Telecommunications Equipment	87.88	88.17	87.21	89.25	1175500
HSIC	Henry Schein	2015-03-17	2016-01-05	Health Care	Health Care Distributors	155.75	155.79	154.90	157.01	459900
HST	Host Hotels & Resorts	2007-03-20	2016-01-05	Real Estate	REITs	15.21	15.39	15.03	15.41	8954100
HSY	The Hershey Company		2016-01-05	Consumer Staples	Packaged Foods & Meats	88.48	87.67	87.23	88.88	1449700
HUM	Humana Inc.		2016-01-05	Health Care	Managed Health Care	180.22	179.63	178.50	181.46	977000
IBM	International Business Machines		2016-01-05	Information Technology	IT Consulting & Other Services	136.76	135.85	134.85	136.89	3924800
ICE	Intercontinental Exchange	2007-09-26	2016-01-05	Financials	Diversified Financial Services	258.30	257.58	254.06	259.05	6751500
IDXX	IDEXX Laboratories	2017-01-05	2016-01-05	Health Care	Health Care Equipment	71.23	71.83	70.95	72.82	548800
IFF	Intl Flavors & Fragrances	1976-03-31	2016-01-05	Materials	Specialty Chemicals	118.40	118.93	117.73	119.12	268100
ILMN	Illumina Inc	2015-11-19	2016-01-05	Health Care	Life Sciences Tools & Services	181.78	178.02	176.83	182.98	1871900
INTC	Intel Corp.	1976-12-31	2016-01-05	Information Technology	Semiconductors	33.96	33.83	33.53	34.00	16709500
A	Agilent Technologies Inc		2016-01-04	Health Care	Health Care Equipment	41.06	40.69	40.34	41.19	3287300
AAL	American Airlines Group	2015-03-23	2016-01-04	Industrials	Airlines	41.29	40.91	40.30	41.35	12037200
AAP	Advance Auto Parts	2015-07-09	2016-01-04	Consumer Discretionary	Automotive Retail	149.25	152.24	147.51	154.48	1935300
AAPL	Apple Inc.	1982-11-30	2016-01-04	Information Technology	Computer Hardware	102.61	105.35	102.00	105.37	67649400
ABBV	AbbVie	2012-12-31	2016-01-04	Health Care	Pharmaceuticals	58.06	57.61	56.40	58.32	10308400
ABC	AmerisourceBergen Corp		2016-01-04	Health Care	Health Care Distributors	102.31	101.87	101.29	102.64	2327000
ABT	Abbott Laboratories	1964-03-31	2016-01-04	Health Care	Health Care Equipment	43.94	42.93	42.50	44.05	12227500
ACN	Accenture plc	2011-07-06	2016-01-04	Information Technology	IT Consulting & Other Services	102.62	101.83	100.97	102.65	2817000
ADBE	Adobe Systems Inc	1997-05-05	2016-01-04	Information Technology	Application Software	91.77	91.97	90.54	92.00	2993800
ADI	Analog Devices, Inc.		2016-01-04	Information Technology	Semiconductors	54.24	54.44	53.63	54.47	2648900
ADM	Archer-Daniels-Midland Co	1981-07-29	2016-01-04	Consumer Staples	Agricultural Products	36.11	35.84	35.40	36.15	4040800
ADP	Automatic Data Processing	1981-03-31	2016-01-04	Information Technology	Internet Software & Services	82.93	82.07	81.25	83.19	2246300
ADS	Alliance Data Systems	2013-12-23	2016-01-04	Information Technology	Data Processing & Outsourced Services	271.16	271.71	268.99	272.15	477400
ADSK	Autodesk Inc	1989-12-01	2016-01-04	Information Technology	Application Software	60.01	60.31	59.24	60.54	2070700
AEE	Ameren Corp	1991-09-19	2016-01-04	Utilities	MultiUtilities	43.13	43.03	42.58	43.22	2664400
AEP	American Electric Power		2016-01-04	Utilities	Electric Utilities	57.82	58.33	57.53	58.36	4087800
AES	AES Corp		2016-01-04	Utilities	Independent Power Producers & Energy Traders	9.44	9.43	9.22	9.48	4813500
AET	Aetna Inc	1976-06-30	2016-01-04	Health Care	Managed Health Care	106.59	109.26	106.02	109.26	4890500
AFL	AFLAC Inc		2016-01-04	Financials	Life & Health Insurance	58.79	59.18	58.20	59.18	2474200
AGN	Allergan, Plc		2016-01-04	Health Care	Pharmaceuticals	306.50	307.47	305.10	309.98	3479800
AIG	American International Group, Inc.	1980-03-31	2016-01-04	Financials	Property & Casualty Insurance	60.66	60.43	59.82	61.07	10538700
AIZ	Assurant Inc	2007-04-10	2016-01-04	Financials	Multi-line Insurance	78.94	78.52	77.69	79.40	734100
AJG	Arthur J. Gallagher & Co.	2016-05-31	2016-01-04	Financials	Insurance Brokers	40.40	40.20	39.86	40.49	1163800
AKAM	Akamai Technologies Inc	2007-07-12	2016-01-04	Information Technology	Internet Software & Services	51.80	52.31	50.91	52.32	4341100
ALB	Albemarle Corp	2016-07-01	2016-01-04	Materials	Specialty Chemicals	54.97	55.55	54.27	55.69	1284700
ALK	Alaska Air Group Inc	2016-05-13	2016-01-04	Industrials	Airlines	79.16	78.40	77.33	79.29	1441300
ALL	Allstate Corp		2016-01-04	Financials	Property & Casualty Insurance	60.88	60.67	59.92	60.98	3339200
ALLE	Allegion	2013-12-02	2016-01-04	Industrials	Building Products	64.88	64.53	63.39	64.88	845000
ALXN	Alexion Pharmaceuticals	2012-05-25	2016-01-04	Health Care	Biotechnology	187.01	184.68	182.50	187.07	1637400
AMAT	Applied Materials Inc		2016-01-04	Information Technology	Semiconductor Equipment	18.31	18.47	18.20	18.47	13331700
AME	AMETEK Inc	2013-09-23	2016-01-04	Industrials	Electrical Components & Equipment	52.86	52.65	52.28	52.93	1942300
AMG	Affiliated Managers Group Inc	2014-07-01	2016-01-04	Financials	Asset Management & Custody Banks	155.11	155.99	153.26	156.24	611000
AMGN	Amgen Inc	1992-01-02	2016-01-04	Health Care	Biotechnology	159.00	158.34	156.09	159.22	5083200
AMP	Ameriprise Financial		2016-01-04	Financials	Asset Management & Custody Banks	103.93	104.25	102.64	104.33	896200
AMT	American Tower Corp A	2007-11-19	2016-01-04	Real Estate	Specialized REITs	96.29	96.70	95.09	96.78	2819800
AMZN	Amazon.com Inc	2005-11-18	2016-01-04	Consumer Discretionary	Internet & Direct Marketing Retail	656.29	636.99	627.51	657.72	9314500
AN	AutoNation Inc		2016-01-04	Consumer Discretionary	Specialty Stores	59.00	58.69	58.16	59.22	867800
ANTM	Anthem Inc.		2016-01-04	Health Care	Managed Health Care	137.66	139.21	137.01	139.43	1769800
AON	Aon plc		2016-01-04	Financials	Insurance Brokers	90.71	90.71	89.72	90.88	1469200
APA	Apache Corporation		2016-01-04	Energy	Oil & Gas Exploration & Production	44.25	44.43	43.75	45.11	4746800
APC	Anadarko Petroleum Corp		2016-01-04	Energy	Oil & Gas Exploration & Production	48.51	49.13	48.06	50.00	5909300
APD	Air Products & Chemicals Inc	1985-04-30	2016-01-04	Materials	Industrial Gases	128.21	129.19	127.07	129.28	1427200
APH	Amphenol Corp	2008-09-30	2016-01-04	Information Technology	Electronic Components	51.07	50.87	50.41	51.27	1593500
ARNC	Arconic Inc	1964-03-31	2016-01-04	Industrials	Aerospace & Defense	9.52	9.71	9.45	9.80	16861300
ATVI	Activision Blizzard	2015-08-31	2016-01-04	Information Technology	Home Entertainment Software	38.05	37.62	36.98	38.09	8926100
AVB	AvalonBay Communities, Inc.	2007-01-10	2016-01-04	Real Estate	Residential REITs	182.35	180.72	179.25	182.70	807000
AVGO	Broadcom	2014-05-08	2016-01-04	Information Technology	Semiconductors	142.07	142.28	139.88	142.35	3097000
AVY	Avery Dennison Corp	1987-12-31	2016-01-04	Materials	Paper Packaging	61.68	61.20	60.15	61.75	1241800
AWK	American Water Works Company Inc	2016-03-04	2016-01-04	Utilities	Water Utilities	59.68	60.32	59.68	60.59	1518500
AXP	American Express Co	1976-06-30	2016-01-04	Financials	Consumer Finance	68.09	67.59	66.77	68.18	9248300
AYI	Acuity Brands Inc	2016-05-03	2016-01-04	Industrials	Electrical Components & Equipment	231.54	233.21	228.31	233.21	494300
AZO	AutoZone Inc		2016-01-04	Consumer Discretionary	Specialty Stores	733.00	735.48	728.52	742.23	299100
BA	Boeing Company		2016-01-04	Industrials	Aerospace & Defense	141.38	140.50	139.43	141.70	5719500
MU	Micron Technology	1994-09-27	2016-01-11	Information Technology	Semiconductors	13.37	12.53	12.21	13.46	43159100
MUR	Murphy Oil		2016-01-11	Energy	Integrated Oil & Gas	19.26	18.32	17.87	19.50	5162600
MYL	Mylan N.V.		2016-01-11	Health Care	Pharmaceuticals	50.06	49.50	48.33	50.23	6719500
NAVI	Navient	2014-05-01	2016-01-11	Financials	Consumer Finance	10.21	10.00	9.80	10.28	5127800
NBL	Noble Energy Inc	2007-10-08	2016-01-11	Energy	Oil & Gas Exploration & Production	30.84	28.99	28.69	30.99	6406700
NDAQ	NASDAQ OMX Group	2008-10-22	2016-01-11	Financials	Diversified Financial Services	56.53	57.28	56.12	57.59	1509200
NEE	NextEra Energy	1976-06-30	2016-01-11	Utilities	MultiUtilities	105.32	105.58	105.11	106.60	4099300
NEM	Newmont Mining Corp. (Hldg. Co.)	1969-06-30	2016-01-11	Materials	Gold	18.12	17.01	16.66	18.24	8515600
NFLX	Netflix Inc.	2010-12-20	2016-01-11	Information Technology	Internet Software & Services	112.13	114.97	111.20	116.79	21920400
NFX	Newfield Exploration Co	2010-12-20	2016-01-11	Energy	Oil & Gas Exploration & Production	29.86	28.98	28.47	30.15	3776000
NI	NiSource Inc.		2016-01-11	Utilities	MultiUtilities	19.50	19.79	19.50	19.85	2156500
NKE	Nike	1988-11-30	2016-01-11	Consumer Discretionary	Apparel, Accessories & Luxury Goods	58.97	59.55	58.54	60.04	12825000
NLSN	Nielsen Holdings	2013-07-09	2016-01-11	Industrials	Research & Consulting Services	44.51	44.99	44.45	45.27	3385500
NOC	Northrop Grumman Corp.	1985-06-30	2016-01-11	Industrials	Aerospace & Defense	187.48	188.11	185.51	188.71	1773800
NOV	National Oilwell Varco Inc.		2016-01-11	Energy	Oil & Gas Equipment & Services	30.01	29.95	29.55	30.15	7407000
